SIA ID,ID,trench,Horizon,Year,Locus.a,Locus.b,Bag,Taxon,Element,Side,Estimated age at death/wear stage,Associated teeth,Notes,,,,,,,
MB BP 1 HUM,5198,L10/8,IV b,2013,504,,,Bos primigenius,humerus,left,,,Very large,,,,,,,
MB Bos 1 MAN,4764,L10/8,IV,2013,502,,5043,Bos taurus,mandible,left,1.5-2 years,M2 M3,,,,,,,,
MB Bos 1 M0,4764,L10/8,IV,2013,502,,5043,Bos taurus,lower M0,right,,,,,,,,,,
MB Bos 2 MAX,6804,L10/8,IV b,2013,504,,5066,Bos taurus,maxilla,left,3-4 years,P4 m1 M2 M3,very large,,,,,,,
MB Bos 2 P4,6804,L10/8,IV b,2013,504,,5066,Bos taurus,maxilla,left,3-4 years,,,,,,,,,
MB Bos 2 M1,6804,L10/8,IV b,2013,504,,5066,Bos taurus,maxilla,left,3-4 years,,,,,,,,,
MB Bos 2 M2,6804,L10/8,IV b,2013,504,,5066,Bos taurus,maxilla,left,3-4 years,,,,,,,,,
MB Bos 2 M3,6804,L10/8,IV b,2013,504,,5066,Bos taurus,maxilla,left,3-4 years,,,,,,,,,
MB Bos 3 M3,5426,M10/13,IV a,2013,402,,4036,Bos taurus,lower M3,right,3-4 years,,large,,,,,,,
MB Bos 4 MAN,6800,L10/8,IV b,2013,504,,5066,Bos taurus,mandible,left,,,no teeth,,,,,,,
MB Bos 5 AST,6796,L10/8,IV b,2013,504,,5066,Bos taurus,astragalus,left,,,,,,,,,,
MB Bos 6 AST,5215,L10/8,IV b,2013,504,,,Bos taurus,astragalus,right,,,,,,,,,,
MB Bos 7 HC,6703,M10/13,IV a,2013,406,,4034,Bos taurus,horn core,indet,,,multiple fragments,,,,,,,
MB Bos 8 RIB,6981,M10/5,IV b,2013,610,,,Bos taurus,rib,indet,,,,,,,,,,
MB Bos 9 SCA,129,M9/5,V,2013,707,,7106,Bos sp.,scapula,left,,,very large,,,,,,,
MB Bos 10 FEM,46,M9/5,V,2013,709,,7112,Bos taurus,femur,indet,,,tooth marks,,,,,,,
MB Bos 11 MT,44,M9/5,V,2013,709,,7112,Bos taurus,metatarsal,left,,,,,,,,,,
MB Bos 12 INN,2170,M9/1,V,2012,211,,2092,Bos taurus,innominate,left,,,,,,,,,,
MB Bos 13 RIB,45,M9/5,V,2013,709,,7112,Bos taurus,rib,indet,,,,,,,,,,
MB Bos 14 RIB,2090,M9/1,V,2012,212,,2103,Bos taurus,rib,indet,,,,,,,,,,
MB Bos 15 INN,3691,M9/1,V,2012,213,,2106,Bos taurus,innominate,right,,,,,,,,,,
MB Bos 16 AST,5887,O8/1N,I,2014,1004,,,Bos taurus,astragalus,left,,,,,,,,,,
MB Bos 18 M3,5886,O8/1N,I,2014,1004,,,Bos taurus,lower M3,right,3-4 years,M3,,,,,,,,
MB Bos 17 FEM,9233,O8/1N,I,2014,1007,,FT 3  10069,Bos taurus,femur,left,,,,,,,,,,
MB Bos 19 MAN,5947,O8/1N,I,2014,1002,,,Bos taurus,mandible,indet,,,,,,,,,,
MB Bos 20 M1,9126,M10/3,II a,2014,1303,,13016,Bos taurus,upper M1,left,2-4 years,M1,,,,,,,,
MB Bos 21 P34,9127,M10/3,II a,2014,1303,,13016,Bos taurus,lower P3/4,right,,P3/4,,,,,,,,
MB Bos 22 RIB,9110,M10/3,II a,2014,1303,,13016,Bos taurus,rib,indet,,,,,,,,,,
MB Bos 23 AST,1385,M11/1,III b,2012,16,,129,Bos taurus,astragalus,right,,,,,,,,,,
MB Bos 24 AST,9244,M10/2,III b,2014,911,,9055,Bos taurus,astragalus,right,,,,,,,,,,
MB Bos 25 AST,9245,M10/2,III b,2014,911,,9055,Bos taurus,astragalus,right,,,,,,,,,,
MB Bos 26 MAX,1826,M11/1,III a,2012,22,,248,Bos taurus,maxilla,left,16 months (approx),dP3dP4M1,,,,,,,,
MB Bos 27 M3,8722,M10/2,III b,2014,913,,9069,Bos taurus,upper M3,left,5 years (approx),,,,,,,,,
MB CE 1 MAX,5015,L10/8,IV b,2013,506,,5071,Cervus elaphus,max,left,1 year (approx),dP2 M1,,,,,,,,
MB CE 2 AST,5266,L10/8,IV b,2013,504,,,Cervus elaphus,asg,right,,,,,,,,,,
MB CE 3 AST,5265,L10/8,IV b,2013,504,,mai multe pungi,Cervus elaphus,asg,left,,,,,,,,,,
